19485
-------- Apriori --------
data set --> (u'training data set', u'training data', u'data sets', u'data mining') 0.00133725595079 1.0
data set --> (u'training data set', u'training data', u'data mining') 0.00160470714095 1.0
data set --> (u'training data set', u'data sets', u'data mining') 0.00133725595079 1.0
data set --> (u'training data set', u'data mining') 0.00160470714095 1.0
data set --> (u'classification model', u'data sets') 0.00133725595079 1.0
data set --> (u'itemset mining', u'data sets', u'data mining') 0.00133725595079 1.0
data set --> (u'itemset mining', u'data sets', u'data mining') 0.00133725595079 1.0
data set --> (u'itemset mining', u'data sets') 0.00133725595079 1.0
data set --> (u'large data', u'data points', u'data mining') 0.00133725595079 1.0
data set --> (u'data point', u'mixture model') 0.00133725595079 1.0
data set --> (u'data point', u'data points', u'data sets', u'data mining') 0.00133725595079 1.0
data set --> (u'data point', u'data sets', u'data mining') 0.00133725595079 1.0
data set --> (u'mixture model', u'synthetic data') 0.00133725595079 1.0
data set --> (u'mixture model', u'data points', u'data sets') 0.00133725595079 1.0
data set --> (u'mixture model', u'training data', u'data sets') 0.00160470714095 1.0
data set --> (u'mixture model', u'data sets', u'data mining') 0.0018721583311 1.0
data set --> (u'mixture model', u'data sets', u'data mining') 0.0018721583311 1.0
data set --> (u'mixture model', u'data sets') 0.00401176785237 1.0
data set --> (u'real data', u'synthetic data', u'data sets', u'data mining') 0.00160470714095 1.0
data set --> (u'real data', u'synthetic data', u'data mining') 0.00160470714095 1.0
data set --> (u'pattern mining', u'data sets', u'data mining') 0.00133725595079 1.0
data set --> (u'pattern mining', u'data sets', u'data mining') 0.00133725595079 1.0
data set --> (u'clustering algorithm', u'data points', u'data sets') 0.00133725595079 1.0
data set --> (u'synthetic data', u'data sets', u'data mining') 0.00427921904252 0.941176470588
data set --> (u'optimization problem', u'data sets', u'data mining') 0.00240706071142 1.0
data set --> (u'optimization problem', u'data sets', u'data mining') 0.00240706071142 1.0
data set --> (u'data points', u'data sets', u'data mining') 0.00427921904252 0.941176470588
data sets --> (u'large data sets', u'large data', u'data set', u'data mining') 0.00133725595079 1.0
data sets --> (u'large data sets', u'large data', u'data mining') 0.00160470714095 1.0
data sets --> (u'large data sets', u'data set', u'data mining') 0.00133725595079 1.0
data sets --> (u'large data sets', u'data mining') 0.00160470714095 1.0
data sets --> (u'large data', u'clustering algorithm') 0.00133725595079 1.0
data sets --> (u'data point', u'data points', u'data set', u'data mining') 0.00133725595079 1.0
data sets --> (u'data point', u'data set', u'data mining') 0.00133725595079 1.0
data sets --> (u'mixture model', u'training data', u'data set') 0.00160470714095 1.0
data sets --> (u'real data', u'synthetic data', u'data set', u'data mining') 0.00160470714095 1.0
data sets --> (u'real data', u'synthetic data', u'data mining') 0.00160470714095 1.0
data sets --> (u'pattern mining', u'data set', u'data mining') 0.00133725595079 1.0
data sets --> (u'pattern mining', u'data set', u'data mining') 0.00133725595079 1.0
dimensional data --> (u'high dimensional data', u'data mining') 0.0018721583311 1.0
expression data --> (u'gene expression data', u'data mining') 0.00160470714095 1.0
gene expression data --> (u'expression data', u'data mining') 0.00160470714095 1.0
large data --> (u'large data sets', u'data sets', u'data set', u'data mining') 0.00133725595079 1.0
large data --> (u'large data sets', u'data sets', u'data mining') 0.00160470714095 1.0
large data --> (u'large data sets', u'data set', u'data mining') 0.00133725595079 1.0
large data --> (u'large data sets', u'data mining') 0.00160470714095 1.0
media data --> (u'social media data', u'data mining') 0.00133725595079 1.0
multi task --> (u'multi task learning', u'task learning', u'training data') 0.00133725595079 1.0
multi task --> (u'multi task learning', u'task learning', u'data sets') 0.00133725595079 1.0
multi task --> (u'multi task learning', u'task learning', u'data set') 0.00160470714095 1.0
multi task --> (u'multi task learning', u'training data') 0.00133725595079 1.0
multi task --> (u'multi task learning', u'data sets') 0.00133725595079 1.0
multi task --> (u'multi task learning', u'data set') 0.00160470714095 1.0
multi task --> (u'task learning', u'training data') 0.00133725595079 1.0
multi task --> (u'task learning', u'data sets') 0.00133725595079 1.0
multi task --> (u'task learning', u'data set') 0.0018721583311 1.0
multi task learning --> (u'task learning', u'multi task', u'training data') 0.00133725595079 1.0
multi task learning --> (u'task learning', u'multi task', u'data sets') 0.00133725595079 1.0
multi task learning --> (u'task learning', u'training data') 0.00133725595079 1.0
multi task learning --> (u'task learning', u'data sets') 0.00133725595079 1.0
pattern mining --> (u'frequent pattern mining', u'data set') 0.00133725595079 1.0
preserving data --> (u'privacy preserving data mining', u'preserving data mining', u'privacy preserving data', u'data mining') 0.00240706071142 1.0
preserving data --> (u'privacy preserving data mining', u'preserving data mining', u'privacy preserving data', u'data mining') 0.00240706071142 1.0
preserving data --> (u'privacy preserving data mining', u'preserving data mining', u'privacy preserving data', u'data mining') 0.00240706071142 1.0
